	"Can_5_hg38.genes.results"	"Can_6_hg38.genes.results"	"CTR_1_hg38.genes.results"	"CTR_2_hg38.genes.results"
"ENSG00000020922_MRE11"	300.00	297.00	323.00	355.00
"ENSG00000021300_PLEKHB1"	3.00	2.00	2.00	12.00
"ENSG00000021355_SERPINB1"	706.00	680.00	774.00	883.00
"ENSG00000021461_CYP3A43"	0.00	0.00	0.00	0.00
"ENSG00000021488_SLC7A9"	1.00	1.00	0.00	0.00
"ENSG00000021574_SPAST"	330.00	282.00	327.00	329.00
"ENSG00000021645_NRXN3"	4.00	8.00	4.00	4.00
"ENSG00000021762_OSBPL5"	331.00	266.00	260.00	329.00
"ENSG00000021776_AQR"	793.00	740.00	797.00	902.00
"ENSG00000021826_CPS1"	55.00	57.00	52.00	66.00
"ENSG00000021852_C8B"	0.00	0.00	0.00	0.00
"ENSG00000022267_FHL1"	1329.00	1399.00	1368.00	1566.00
"ENSG00000022277_RTFDC1"	752.00	770.00	775.00	909.00
"ENSG00000022355_GABRA1"	0.00	0.00	0.00	0.00
"ENSG00000022556_NLRP2"	10.00	17.00	13.00	18.00
"ENSG00000022567_SLC45A4"	37.00	40.00	36.00	34.00
"ENSG00000022840_RNF10"	2549.00	2287.00	2310.00	2727.00
"ENSG00000022976_ZNF839"	117.00	81.00	109.00	119.00
"ENSG00000023041_ZDHHC6"	659.00	553.00	676.00	713.00
"ENSG00000023171_GRAMD1B"	139.00	81.00	108.00	129.00
"ENSG00000023191_RNH1"	2283.00	2127.00	1875.00	2350.00
"ENSG00000023228_NDUFS1"	1183.00	1127.88	1088.58	1337.94
"ENSG00000023287_RB1CC1"	774.00	802.00	826.00	966.00
"ENSG00000023318_ERP44"	894.00	781.00	860.00	914.00
"ENSG00000023330_ALAS1"	791.00	609.00	657.00	766.00
"ENSG00000023445_BIRC3"	202.00	128.00	169.00	220.00
"ENSG00000023516_AKAP11"	719.00	784.00	844.00	1004.00
"ENSG00000023572_GLRX2"	110.00	107.00	110.00	116.00
"ENSG00000023608_SNAPC1"	228.27	213.79	238.49	263.29
"ENSG00000023697_DERA"	419.00	416.00	456.00	451.00
"ENSG00000023734_STRAP"	1904.00	1724.00	1913.00	2113.00
"ENSG00000023839_ABCC2"	16.00	8.00	24.00	18.00
"ENSG00000023892_DEF6"	3.00	1.00	2.00	5.00
"ENSG00000023902_PLEKHO1"	1041.00	829.00	860.00	1030.00
"ENSG00000023909_GCLM"	771.00	665.00	782.00	787.00
"ENSG00000024048_UBR2"	538.00	497.00	594.00	641.00
"ENSG00000024422_EHD2"	4921.00	4935.00	3742.00	5278.00
"ENSG00000024526_DEPDC1"	240.00	273.00	288.00	270.00
"ENSG00000024862_CCDC28A"	155.00	140.00	158.00	192.00
"ENSG00000025039_RRAGD"	14.00	12.00	11.00	21.00
"ENSG00000025156_HSF2"	158.00	154.00	171.00	176.00
"ENSG00000025293_PHF20"	608.00	608.00	602.00	626.00
"ENSG00000025423_HSD17B6"	1.00	0.00	0.00	0.00
"ENSG00000025434_NR1H3"	59.00	57.00	55.00	66.00
"ENSG00000025708_TYMP"	123.66	64.88	54.10	86.32
"ENSG00000025770_NCAPH2"	200.00	178.00	197.00	242.00
"ENSG00000025772_TOMM34"	626.00	563.00	598.00	716.00
"ENSG00000025796_SEC63"	706.00	710.00	721.94	835.99
"ENSG00000025800_KPNA6"	1273.00	1154.00	831.00	1271.00
"ENSG00000026025_VIM"	61765.00	67433.00	60197.00	76002.00
"ENSG00000026036_RTEL1-TNFRSF6B"	143.48	70.45	90.73	154.05
"ENSG00000026103_FAS"	324.00	255.00	359.00	366.00
"ENSG00000026297_RNASET2"	99.00	81.00	89.00	92.00
"ENSG00000026508_CD44"	1371.00	1062.00	1062.00	1267.00
"ENSG00000026559_KCNG1"	5.00	7.00	4.00	6.00
"ENSG00000026652_AGPAT4"	146.00	143.00	141.00	174.00
"ENSG00000026751_SLAMF7"	0.00	0.00	0.00	0.00
"ENSG00000026950_BTN3A1"	410.77	307.56	360.84	376.48
"ENSG00000027001_MIPEP"	245.00	220.00	193.00	264.00
"ENSG00000027075_PRKCH"	1487.05	1656.00	1480.00	1773.00
"ENSG00000027644_INSRR"	0.00	0.00	0.00	0.00
"ENSG00000027697_IFNGR1"	414.00	411.00	487.00	455.00
"ENSG00000027847_B4GALT7"	365.00	354.00	372.00	389.00
"ENSG00000027869_SH2D2A"	14.00	7.00	11.00	11.00
"ENSG00000028116_VRK2"	366.00	344.00	429.00	415.00
"ENSG00000028137_TNFRSF1B"	393.00	470.00	410.00	487.00
"ENSG00000028203_VEZT"	1001.00	969.00	1112.00	1120.00
"ENSG00000028277_POU2F2"	688.00	310.00	387.00	557.00
"ENSG00000028310_BRD9"	757.00	562.00	602.00	679.00
"ENSG00000028528_SNX1"	1378.00	1342.00	1464.00	1634.00
"ENSG00000028839_TBPL1"	238.00	194.00	238.00	249.00
"ENSG00000029153_ARNTL2"	406.00	470.00	392.00	454.00
"ENSG00000029363_BCLAF1"	1696.49	1776.00	1991.57	2014.68
"ENSG00000029364_SLC39A9"	945.00	752.00	743.00	944.00
"ENSG00000029534_ANK1"	25.00	34.00	17.00	28.00
"ENSG00000029559_IBSP"	0.00	0.00	0.00	0.00
"ENSG00000029639_TFB1M"	182.00	145.00	148.00	156.00
"ENSG00000029725_RABEP1"	1220.00	1064.00	1089.00	1273.00
"ENSG00000029993_HMGB3"	493.00	525.00	568.00	580.00
"ENSG00000030066_NUP160"	538.00	528.00	507.00	597.00
"ENSG00000030110_BAK1"	643.00	439.00	508.00	601.99
"ENSG00000030304_MUSK"	0.00	0.00	0.00	2.00
"ENSG00000030419_IKZF2"	5.00	4.00	4.00	11.00
"ENSG00000030582_GRN"	7828.00	6718.00	6288.00	8373.00
"ENSG00000031003_FAM13B"	268.00	273.00	334.00	357.00
"ENSG00000031081_ARHGAP31"	1429.00	1426.00	1306.00	1685.00
"ENSG00000031691_CENPQ"	73.00	80.00	64.00	72.00
"ENSG00000031698_SARS"	1556.00	1480.00	1430.00	1825.00
"ENSG00000031823_RANBP3"	595.00	553.00	544.00	635.00
"ENSG00000032219_ARID4A"	286.00	263.00	332.00	336.00
"ENSG00000032389_EIPR1"	288.00	270.00	256.00	294.00
"ENSG00000032444_PNPLA6"	1822.00	1576.00	1348.00	1770.03
"ENSG00000032742_IFT88"	158.00	152.00	139.00	155.00
"ENSG00000033011_ALG1"	469.12	361.00	377.00	436.99
"ENSG00000033030_ZCCHC8"	251.00	243.00	261.00	276.00
"ENSG00000033050_ABCF2"	1419.00	1200.00	1194.00	1363.00
"ENSG00000033100_CHPF2"	1669.00	1479.00	1345.52	1679.00
"ENSG00000033122_LRRC7"	3.00	6.00	5.00	8.00
"ENSG00000033170_FUT8"	452.00	449.00	480.00	513.00
"ENSG00000033178_UBA6"	1126.00	994.00	1148.00	1191.00
"ENSG00000033327_GAB2"	550.00	528.00	523.00	642.00
"ENSG00000033627_ATP6V0A1"	537.00	392.00	455.00	545.00
"ENSG00000033800_PIAS1"	329.00	343.00	355.00	382.00
"ENSG00000033867_SLC4A7"	536.00	406.00	577.00	591.00
"ENSG00000034053_APBA2"	369.00	373.00	334.00	413.00
"ENSG00000034152_MAP2K3"	774.00	521.00	520.00	736.00
"ENSG00000034239_EFCAB1"	0.00	0.00	0.00	1.00
"ENSG00000034510_TMSB10"	10779.00	10778.00	10443.00	12867.00
"ENSG00000034533_ASTE1"	110.00	83.00	95.00	86.00
"ENSG00000034677_RNF19A"	658.00	544.00	636.00	802.00
"ENSG00000034693_PEX3"	188.88	183.00	196.00	199.00
"ENSG00000034713_GABARAPL2"	664.00	635.00	700.00	845.00
"ENSG00000034971_MYOC"	0.00	0.00	0.00	0.00
"ENSG00000035115_SH3YL1"	144.00	112.00	179.00	142.00
"ENSG00000035141_FAM136A"	580.00	410.00	570.00	535.00
"ENSG00000035403_VCL"	4145.00	3414.00	3749.00	4125.00
"ENSG00000035499_DEPDC1B"	95.00	116.00	127.00	117.00
"ENSG00000035664_DAPK2"	27.00	20.00	27.00	28.00
"ENSG00000035681_NSMAF"	713.00	617.00	674.00	727.00
"ENSG00000035687_ADSS"	1731.00	1883.00	2010.00	1937.00
"ENSG00000035720_STAP1"	0.00	0.00	0.00	0.00
"ENSG00000035862_TIMP2"	6844.00	6109.00	6391.00	7536.00
"ENSG00000035928_RFC1"	750.00	753.00	779.00	899.00
"ENSG00000036054_TBC1D23"	510.00	457.00	504.00	621.00
"ENSG00000036257_CUL3"	936.00	903.00	971.00	1034.00
"ENSG00000036448_MYOM2"	8.00	4.00	7.00	7.00
"ENSG00000036473_OTC"	0.00	1.00	0.00	2.00
"ENSG00000036530_CYP46A1"	2.00	1.00	0.00	2.00
"ENSG00000036549_ZZZ3"	490.00	573.00	602.00	656.00
"ENSG00000036565_SLC18A1"	0.00	0.00	0.00	0.00
"ENSG00000036672_USP2"	0.00	4.00	3.00	4.00
"ENSG00000036828_CASR"	0.00	1.00	1.00	0.00
"ENSG00000037042_TUBG2"	99.69	67.03	110.14	106.35
"ENSG00000037241_RPL26L1"	251.00	247.96	271.39	286.00
"ENSG00000037280_FLT4"	187.00	204.00	179.00	210.00
"ENSG00000037474_NSUN2"	1267.00	1019.00	1125.00	1236.00
"ENSG00000037637_FBXO42"	237.00	217.00	208.00	279.00
"ENSG00000037749_MFAP3"	190.00	254.00	216.00	250.00
"ENSG00000037757_MRI1"	191.00	147.00	152.00	186.00
"ENSG00000037897_METTL1"	117.00	107.00	118.00	129.00
"ENSG00000037965_HOXC8"	0.00	0.00	0.00	0.00
"ENSG00000038002_AGA"	112.00	101.00	134.00	108.00
"ENSG00000038210_PI4K2B"	350.06	309.32	393.76	417.08
"ENSG00000038219_BOD1L1"	568.00	573.00	724.00	757.00
"ENSG00000038274_MAT2B"	1217.00	1235.00	1239.00	1338.00
"ENSG00000038295_TLL1"	182.00	186.00	214.00	181.00
"ENSG00000038358_EDC4"	949.95	793.04	807.37	1036.59
"ENSG00000038382_TRIO"	2350.00	2146.00	2191.00	2829.00
"ENSG00000038427_VCAN"	10.00	19.00	17.00	10.00
"ENSG00000038532_CLEC16A"	413.00	368.00	350.00	474.00
"ENSG00000038945_MSR1"	11.00	6.00	9.00	9.00
"ENSG00000039068_CDH1"	0.00	0.00	0.00	1.00
"ENSG00000039123_SKIV2L2"	915.00	823.00	905.00	974.00
"ENSG00000039139_DNAH5"	26.00	26.00	25.00	22.00
"ENSG00000039319_ZFYVE16"	688.00	631.00	763.00	766.00
"ENSG00000039523_RIPOR1"	1797.00	1584.00	1531.00	1896.00
"ENSG00000039537_C6"	0.00	0.00	0.00	0.00
"ENSG00000039560_RAI14"	3060.00	2807.00	2827.00	3106.00
"ENSG00000039600_SOX30"	1.00	0.00	3.00	0.00
"ENSG00000039650_PNKP"	355.00	283.00	302.00	382.00
"ENSG00000039987_BEST2"	0.00	0.00	0.00	0.00
"ENSG00000040199_PHLPP2"	309.00	259.00	277.00	330.00
"ENSG00000040275_SPDL1"	259.00	252.00	292.00	266.00
"ENSG00000040341_STAU2"	528.77	580.96	583.67	658.97
"ENSG00000040487_PQLC2"	218.00	151.00	161.00	179.00
"ENSG00000040531_CTNS"	444.00	345.00	335.00	404.00
"ENSG00000040608_RTN4R"	4.00	7.00	6.00	2.00
"ENSG00000040633_PHF23"	582.00	493.00	551.00	586.00
"ENSG00000040731_CDH10"	2.00	2.00	2.00	4.00
"ENSG00000040933_INPP4A"	373.00	380.00	393.00	431.00
"ENSG00000041353_RAB27B"	3.00	4.00	6.00	1.00
"ENSG00000041357_PSMA4"	1632.00	1500.00	1692.00	1810.00
"ENSG00000041515_MYO16"	0.00	0.00	2.00	0.00
"ENSG00000041802_LSG1"	774.00	632.00	639.00	715.00
"ENSG00000041880_PARP3"	180.00	174.00	165.00	232.00
"ENSG00000041982_TNC"	2.00	1.00	3.00	3.00
"ENSG00000041988_THAP3"	333.00	318.00	325.00	338.00
"ENSG00000042062_RIPOR3"	68.00	12.00	31.00	65.00
"ENSG00000042088_TDP1"	264.00	227.00	221.00	246.00
"ENSG00000042286_AIFM2"	225.00	146.00	158.00	185.00
"ENSG00000042304_C2orf83"	0.00	0.00	0.00	0.00
"ENSG00000042317_SPATA7"	135.00	143.00	145.00	152.00
"ENSG00000042429_MED17"	387.20	340.43	398.64	391.00
"ENSG00000042445_RETSAT"	978.00	811.00	848.00	1040.00
"ENSG00000042493_CAPG"	456.00	490.00	495.00	545.00
"ENSG00000042753_AP2S1"	1559.00	1461.00	1480.00	1720.00
"ENSG00000042781_USH2A"	0.00	0.00	0.00	0.00
"ENSG00000042813_ZPBP"	0.00	0.00	0.00	0.00
"ENSG00000042832_TG"	9.00	3.00	2.00	4.00
"ENSG00000042980_ADAM28"	1.00	2.00	5.00	3.00
"ENSG00000043039_BARX2"	0.00	0.00	0.00	0.00
"ENSG00000043093_DCUN1D1"	562.00	472.00	543.00	572.00
"ENSG00000043143_JADE2"	549.00	392.00	387.00	494.00
"ENSG00000043355_ZIC2"	0.00	1.00	0.00	0.00
"ENSG00000043462_LCP2"	1.00	0.00	0.00	1.00
"ENSG00000043514_TRIT1"	182.00	164.00	200.00	223.00
"ENSG00000043591_ADRB1"	2.00	3.00	1.00	1.00
"ENSG00000044012_GUCA2B"	0.00	0.00	0.00	0.00
"ENSG00000044090_CUL7"	771.00	609.00	631.00	801.00
"ENSG00000044115_CTNNA1"	6342.00	6089.00	5970.00	7018.00
"ENSG00000044446_PHKA2"	166.00	165.00	183.00	170.00
"ENSG00000044459_CNTLN"	206.00	187.00	242.00	263.00
"ENSG00000044524_EPHA3"	0.00	0.00	0.00	1.00
"ENSG00000044574_HSPA5"	17002.99	14643.00	16586.00	16156.99
"ENSG00000046604_DSG2"	0.00	0.00	0.00	0.00
"ENSG00000046647_GEMIN8"	135.00	135.00	173.00	192.00
"ENSG00000046651_OFD1"	144.00	124.00	153.00	168.00
"ENSG00000046653_GPM6B"	0.00	1.00	1.00	5.00
"ENSG00000046774_MAGEC2"	0.00	0.00	0.00	0.00
"ENSG00000046889_PREX2"	561.00	824.00	760.00	1003.00
"ENSG00000047056_WDR37"	645.00	630.00	690.00	807.00
"ENSG00000047188_YTHDC2"	799.00	759.00	915.00	847.00
"ENSG00000047230_CTPS2"	229.00	251.00	286.00	288.00
"ENSG00000047249_ATP6V1H"	881.00	730.00	725.00	899.00
"ENSG00000047315_POLR2B"	2350.00	2220.00	2363.00	2605.00
"ENSG00000047346_FAM214A"	453.00	420.00	521.00	558.00
"ENSG00000047365_ARAP2"	0.00	0.00	0.00	0.00
"ENSG00000047410_TPR"	1876.00	1584.00	2011.00	2163.00
"ENSG00000047457_CP"	43.00	22.00	40.00	38.00
"ENSG00000047578_KIAA0556"	320.00	276.00	302.00	318.00
"ENSG00000047579_DTNBP1"	215.00	153.00	196.00	226.00
"ENSG00000047597_XK"	4.00	0.00	1.00	0.00
"ENSG00000047617_ANO2"	43.00	44.00	63.00	64.00
"ENSG00000047621_C12orf4"	392.00	279.00	357.00	370.00
"ENSG00000047634_SCML1"	289.00	220.00	279.00	294.00
"ENSG00000047644_WWC3"	1165.00	1061.00	945.00	1245.00
"ENSG00000047648_ARHGAP6"	26.00	23.00	22.00	34.00
"ENSG00000047662_FAM184B"	59.00	42.00	78.00	75.00
"ENSG00000047849_MAP4"	5965.00	5217.00	5202.00	6458.00
"ENSG00000047932_GOPC"	545.00	527.00	649.00	622.00
"ENSG00000047936_ROS1"	0.00	0.00	1.00	0.00
"ENSG00000048028_USP28"	352.00	357.00	375.00	397.00
"ENSG00000048052_HDAC9"	528.00	307.00	360.00	506.00
"ENSG00000048140_TSPAN17"	944.00	888.00	796.00	956.00
"ENSG00000048162_NOP16"	461.00	427.00	399.00	489.00
"ENSG00000048342_CC2D2A"	233.00	230.00	232.00	296.00
"ENSG00000048392_RRM2B"	1565.00	1502.00	1721.00	1802.00
"ENSG00000048405_ZNF800"	272.00	271.00	257.00	302.00
"ENSG00000048462_TNFRSF17"	0.00	0.00	0.00	1.00
"ENSG00000048471_SNX29"	452.00	384.00	345.00	487.00
"ENSG00000048540_LMO3"	0.00	0.00	0.00	2.00
"ENSG00000048544_MRPS10"	555.00	572.00	623.00	673.00
"ENSG00000048545_GUCA1A"	0.00	0.00	0.00	0.00
"ENSG00000048649_RSF1"	646.63	689.13	767.38	875.90
"ENSG00000048707_VPS13D"	657.00	795.00	768.00	950.00
"ENSG00000048740_CELF2"	706.00	541.00	591.00	745.00
"ENSG00000048828_FAM120A"	3189.00	3035.00	2892.87	3316.00
"ENSG00000048991_R3HDM1"	455.00	479.00	450.00	497.00
"ENSG00000049089_COL9A2"	2.00	6.00	3.00	5.00
"ENSG00000049130_KITLG"	435.00	306.00	411.00	431.00
"ENSG00000049167_ERCC8"	143.98	121.00	132.32	129.00
"ENSG00000049192_ADAMTS6"	512.00	373.00	565.00	475.00
"ENSG00000049239_H6PD"	1255.00	1149.00	1053.00	1334.00
"ENSG00000049245_VAMP3"	2347.00	2151.00	2425.00	2719.00
"ENSG00000049246_PER3"	191.00	151.00	155.00	188.00
"ENSG00000049247_UTS2"	31.00	23.00	15.00	30.00
"ENSG00000049249_TNFRSF9"	20.00	12.00	8.00	25.00
"ENSG00000049283_EPN3"	22.88	11.00	7.00	23.00
"ENSG00000049323_LTBP1"	531.00	716.00	682.00	719.00
"ENSG00000049449_RCN1"	3623.80	3953.34	4022.23	4150.18
"ENSG00000049540_ELN"	0.00	4.00	0.00	2.00
"ENSG00000049541_RFC2"	218.00	215.00	233.00	243.00
"ENSG00000049618_ARID1B"	618.00	624.00	537.00	698.00
"ENSG00000049656_CLPTM1L"	1659.00	1315.00	1358.00	1600.00
"ENSG00000049759_NEDD4L"	1353.00	841.00	981.00	1306.00
"ENSG00000049768_FOXP3"	2.00	1.00	0.00	1.00
"ENSG00000049769_PPP1R3F"	31.00	18.00	8.00	26.00
"ENSG00000049860_HEXB"	2942.00	2228.00	2694.00	2909.00
"ENSG00000049883_PTCD2"	159.00	125.00	185.00	187.00
"ENSG00000050030_NEXMIF"	0.00	0.00	1.00	0.00
"ENSG00000050130_JKAMP"	441.00	451.00	519.00	490.00
"ENSG00000050165_DKK3"	3530.00	2835.00	3135.00	3614.00
"ENSG00000050327_ARHGEF5"	69.25	51.30	49.27	67.28
"ENSG00000050344_NFE2L3"	1223.00	999.00	1181.00	1175.00
"ENSG00000050393_MCUR1"	287.00	281.00	253.00	336.00
"ENSG00000050405_LIMA1"	2191.00	2073.00	2135.00	2414.00
"ENSG00000050426_LETMD1"	356.00	343.00	396.00	400.00
"ENSG00000050438_SLC4A8"	122.00	113.00	123.00	140.00
"ENSG00000050555_LAMC3"	3.00	3.00	4.00	2.00
"ENSG00000050628_PTGER3"	0.00	1.00	1.00	0.00
"ENSG00000050730_TNIP3"	60.00	19.00	34.00	30.00
"ENSG00000050748_MAPK9"	495.00	485.00	501.00	562.00
"ENSG00000050767_COL23A1"	0.00	1.00	0.00	0.00
"ENSG00000050820_BCAR1"	1815.00	2076.00	1600.41	2153.93
"ENSG00000051009_FAM160A2"	249.00	164.00	212.00	215.00
"ENSG00000051108_HERPUD1"	818.00	698.00	754.00	871.00
"ENSG00000051128_HOMER3"	1404.00	1232.00	1082.42	1600.48
"ENSG00000051180_RAD51"	132.00	106.00	104.00	129.00
"ENSG00000051341_POLQ"	103.00	105.00	141.00	121.00
"ENSG00000051382_PIK3CB"	567.00	551.00	550.00	606.00
"ENSG00000051523_CYBA"	320.00	293.00	262.00	347.00
"ENSG00000051596_THOC3"	329.24	373.52	383.20	393.24
"ENSG00000051620_HEBP2"	650.00	603.00	619.00	687.00
"ENSG00000051825_MPHOSPH9"	234.37	243.78	240.34	266.34
"ENSG00000052126_PLEKHA5"	128.00	116.00	136.00	158.00
"ENSG00000052344_PRSS8"	0.00	0.00	0.00	0.00
"ENSG00000052723_SIKE1"	391.00	361.00	415.00	456.00
"ENSG00000052749_RRP12"	364.00	282.00	286.00	369.00
"ENSG00000052795_FNIP2"	304.00	283.00	270.00	370.00
"ENSG00000052802_MSMO1"	630.00	636.00	610.00	676.00
"ENSG00000052841_TTC17"	861.00	767.00	963.00	980.00
"ENSG00000052850_ALX4"	0.00	0.00	0.00	1.00
"ENSG00000053108_FSTL4"	0.00	1.00	0.00	1.00
"ENSG00000053254_FOXN3"	827.00	928.00	860.00	1039.00
"ENSG00000053328_METTL24"	0.00	0.00	0.00	0.00
"ENSG00000053371_AKR7A2"	469.20	490.00	402.00	508.00
"ENSG00000053372_MRTO4"	507.00	436.00	506.00	527.00
"ENSG00000053438_NNAT"	9.00	4.00	6.00	4.00
"ENSG00000053501_USE1"	115.00	112.00	141.00	143.00
"ENSG00000053524_MCF2L2"	213.00	160.00	203.00	216.00
"ENSG00000053702_NRIP2"	10.00	4.00	17.00	5.00
"ENSG00000053747_LAMA3"	78.00	74.00	87.00	66.00
"ENSG00000053770_AP5M1"	634.00	673.00	731.00	769.00
"ENSG00000053900_ANAPC4"	320.00	274.00	352.00	345.00
"ENSG00000053918_KCNQ1"	1.00	0.00	0.00	0.00
"ENSG00000054116_TRAPPC3"	800.00	717.00	768.00	939.00
"ENSG00000054118_THRAP3"	2027.00	1992.00	1763.00	2173.00
"ENSG00000054148_PHPT1"	671.00	660.00	726.00	771.00
"ENSG00000054179_ENTPD2"	0.00	1.00	0.00	0.00
"ENSG00000054219_LY75"	807.95	809.64	972.83	815.17
"ENSG00000054267_ARID4B"	603.94	524.00	615.71	650.20
"ENSG00000054277_OPN3"	284.87	243.78	297.85	311.46
"ENSG00000054282_SDCCAG8"	304.00	248.00	247.00	283.00
"ENSG00000054356_PTPRN"	1.00	0.00	1.00	1.00
"ENSG00000054392_HHAT"	36.00	53.00	54.00	47.00
"ENSG00000054523_KIF1B"	1278.00	1290.86	1218.00	1511.00
"ENSG00000054598_FOXC1"	185.00	233.00	196.00	221.00
"ENSG00000054611_TBC1D22A"	448.00	388.00	348.00	471.00
"ENSG00000054654_SYNE2"	312.00	494.00	595.00	773.00
"ENSG00000054690_PLEKHH1"	11.00	9.00	7.00	12.00
"ENSG00000054793_ATP9A"	962.00	981.00	897.00	1134.00
"ENSG00000054796_SPO11"	0.00	0.00	0.00	0.00
"ENSG00000054803_CBLN4"	0.00	0.00	0.00	0.00
"ENSG00000054938_CHRDL2"	1.00	0.00	0.00	1.00
"ENSG00000054965_FAM168A"	465.00	494.00	522.00	570.00
"ENSG00000054967_RELT"	147.00	108.00	110.00	141.00
"ENSG00000054983_GALC"	620.00	539.00	614.00	673.00
"ENSG00000055044_NOP58"	775.00	727.00	755.00	783.00
"ENSG00000055070_SZRD1"	1808.00	1761.00	1743.00	2028.00
"ENSG00000055118_KCNH2"	0.00	0.00	0.00	0.00
"ENSG00000055130_CUL1"	858.00	746.00	837.00	840.00
"ENSG00000055147_FAM114A2"	391.00	383.00	415.00	446.00
"ENSG00000055163_CYFIP2"	201.00	269.00	262.00	266.00
"ENSG00000055208_TAB2"	839.00	781.00	790.00	941.00
"ENSG00000055211_GINM1"	743.00	711.00	750.00	830.00
"ENSG00000055332_EIF2AK2"	1081.00	867.00	1023.00	998.00
"ENSG00000055483_USP36"	533.00	473.00	463.00	550.00
"ENSG00000055609_KMT2C"	560.00	628.00	682.00	903.00
"ENSG00000055732_MCOLN3"	0.00	0.00	0.00	0.00
"ENSG00000055813_CCDC85A"	149.36	190.42	141.15	177.72
"ENSG00000055917_PUM2"	1270.00	1259.00	1322.00	1480.00
"ENSG00000055950_MRPL43"	326.00	403.00	341.00	418.00
"ENSG00000055955_ITIH4"	1.00	1.00	4.27	2.71
"ENSG00000055957_ITIH1"	0.00	0.00	0.00	0.00
"ENSG00000056050_HPF1"	263.00	282.00	325.00	318.00
"ENSG00000056097_ZFR"	1200.00	1187.00	1115.00	1375.00
"ENSG00000056277_ZNF280C"	81.00	85.00	77.00	79.00
"ENSG00000056291_NPFFR2"	3.00	2.00	3.00	5.00
"ENSG00000056487_PHF21B"	0.00	1.00	0.00	0.00
"ENSG00000056558_TRAF1"	115.00	66.00	101.00	122.00
"ENSG00000056586_RC3H2"	871.00	919.00	906.00	1063.00
"ENSG00000056736_IL17RB"	16.00	12.00	9.00	13.00
"ENSG00000056972_TRAF3IP2"	251.00	255.00	225.00	270.00
"ENSG00000056998_GYG2"	1.00	1.00	0.00	0.00
"ENSG00000057019_DCBLD2"	6655.00	4061.00	4538.00	5220.00
"ENSG00000057149_SERPINB3"	0.00	0.00	0.00	0.00
"ENSG00000057252_SOAT1"	744.00	584.00	629.00	739.00
"ENSG00000057294_PKP2"	157.00	136.00	123.00	140.00
"ENSG00000057468_MSH4"	2.00	3.00	1.00	1.00
"ENSG00000057593_F7"	0.00	0.00	0.00	0.00
"ENSG00000057608_GDI2"	4056.00	3641.00	3907.93	4370.92
"ENSG00000057657_PRDM1"	20.00	10.00	11.00	21.00
"ENSG00000057663_ATG5"	466.00	427.00	455.00	500.00
"ENSG00000057704_TMCC3"	440.00	529.00	452.00	573.00
"ENSG00000057757_PITHD1"	339.00	336.00	336.00	415.00
"ENSG00000057935_MTA3"	434.00	446.00	460.00	539.00
"ENSG00000058056_USP13"	296.00	317.00	269.00	338.00
"ENSG00000058063_ATP11B"	748.00	621.00	706.00	718.00
"ENSG00000058085_LAMC2"	743.00	322.00	506.00	620.00
"ENSG00000058091_CDK14"	204.00	191.00	232.00	229.00
"ENSG00000058262_SEC61A1"	6512.00	5198.00	5439.00	6410.00
"ENSG00000058272_PPP1R12A"	1094.00	824.00	1008.00	1135.00
"ENSG00000058335_RASGRF1"	2.00	0.00	1.00	2.00
"ENSG00000058404_CAMK2B"	11.00	11.00	12.00	13.00
"ENSG00000058453_CROCC"	247.00	198.00	198.00	267.00
"ENSG00000058600_POLR3E"	419.00	346.00	362.00	431.00
"ENSG00000058668_ATP2B4"	1258.00	1604.00	1497.00	1832.00
"ENSG00000058673_ZC3H11A"	1153.59	1216.57	1253.43	1492.53
"ENSG00000058729_RIOK2"	323.00	272.00	298.00	340.00
"ENSG00000058799_YIPF1"	271.00	210.00	232.00	314.00
"ENSG00000058804_NDC1"	489.00	461.00	457.00	488.00
"ENSG00000058866_DGKG"	17.00	7.00	4.00	13.00
"ENSG00000059122_FLYWCH1"	586.00	497.00	533.00	592.00
"ENSG00000059145_UNKL"	296.00	232.00	265.00	291.00
"ENSG00000059377_TBXAS1"	90.00	72.00	100.00	100.00
"ENSG00000059378_PARP12"	597.00	474.00	505.00	550.00
"ENSG00000059573_ALDH18A1"	1102.00	917.00	986.00	1068.00
"ENSG00000059588_TARBP1"	345.00	256.00	383.00	377.00
"ENSG00000059691_GATB"	292.00	227.00	243.00	264.00
"ENSG00000059728_MXD1"	210.04	142.00	175.00	200.00
"ENSG00000059758_CDK17"	1663.00	1555.00	1681.00	1745.00
"ENSG00000059769_DNAJC25"	123.84	83.05	133.00	103.00
"ENSG00000059804_SLC2A3"	524.93	431.79	464.26	543.92
"ENSG00000059915_PSD"	14.00	7.00	4.00	15.00
"ENSG00000060069_CTDP1"	366.00	307.00	294.00	367.00
"ENSG00000060138_YBX3"	5744.00	5026.00	5141.00	6098.00
"ENSG00000060140_STYK1"	222.00	217.00	253.00	234.00
"ENSG00000060237_WNK1"	2212.00	2255.00	2240.00	2732.00
"ENSG00000060303_RPS17P5"	0.00	0.00	0.00	0.00
"ENSG00000060339_CCAR1"	997.00	881.00	1040.00	1042.00
"ENSG00000060491_OGFR"	526.00	476.00	412.00	541.00
"ENSG00000060558_GNA15"	3.00	2.00	3.00	7.00
"ENSG00000060566_CREB3L3"	0.00	0.00	0.00	0.00
"ENSG00000060642_PIGV"	113.00	85.00	101.00	114.00
"ENSG00000060656_PTPRU"	60.00	54.00	46.00	78.00
