	"Can_5_hg38.genes.results"	"Can_6_hg38.genes.results"	"CTR_1_hg38.genes.results"	"CTR_2_hg38.genes.results"
"ENSG00000019549_SNAI2"	4.00	7.00	11.00	9.00
"ENSG00000019582_CD74"	9.00	3.00	7.00	11.00
"ENSG00000019991_HGF"	34.00	30.00	46.00	28.00
"ENSG00000019995_ZRANB1"	473.66	472.31	480.84	550.90
"ENSG00000020129_NCDN"	304.00	260.00	206.00	262.00
"ENSG00000020181_ADGRA2"	419.00	521.00	418.00	547.00
"ENSG00000020219_CCT8L1P"	1.00	0.00	0.00	0.00
"ENSG00000020256_ZFP64"	235.00	183.00	226.00	235.00
"ENSG00000020426_MNAT1"	218.00	209.00	233.00	262.00
"ENSG00000020577_SAMD4A"	1573.00	1039.00	1201.00	1375.00
"ENSG00000020633_RUNX3"	0.00	0.00	0.00	1.00
